City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,jamestown,42.097,-79.2353,6.77,82,{'all': 75},2.68,US,1681728214
1,castro,-24.7911,-50.0119,18.56,95,{'all': 61},3.38,BR,1681728215
2,punta arenas,-53.15,-70.9167,4.06,70,{'all': 100},5.66,CL,1681728215
3,whitehorse,60.7161,-135.0538,-1.57,86,{'all': 75},1.03,CA,1681728070
4,flinders,-34.5833,150.8552,15.66,78,{'all': 10},1.34,AU,1681728217
5,soe,-9.8607,124.284,19.7,96,{'all': 88},0.78,ID,1681728218
6,mataura,-46.1927,168.8643,11.38,72,{'all': 100},1.3,NZ,1681728219
7,fairbanks,64.8378,-147.7164,-6.0,73,{'all': 75},0.0,US,1681728220
8,ahipara,-35.1667,173.1667,18.61,81,{'all': 71},6.12,NZ,1681728220
9,mount isa,-20.7333,139.5,21.87,49,{'all': 0},4.12,AU,1681728221
10,tiksi,71.6872,128.8694,-15.76,99,{'all': 98},0.84,RU,1681728222
11,anito,12.4497,125.2886,26.22,86,{'all': 97},3.08,PH,1681728222
12,aripuana,-9.1667,-60.6333,22.59,99,{'all': 100},0.45,BR,1681728223
13,broome,42.2506,-75.833,11.92,89,{'all': 100},3.6,US,1681728223
14,puerto ayora,-0.7393,-90.3518,23.64,100,{'all': 96},1.15,EC,1681728224
15,tigil,57.8,158.6667,0.87,86,{'all': 100},5.48,RU,1681728224
16,sambava,-14.2667,50.1667,28.25,72,{'all': 16},5.82,MG,1681728225
17,avarua,-21.2078,-159.775,22.03,64,{'all': 100},2.06,CK,1681728225
18,arraial do cabo,-22.9661,-42.0278,22.92,94,{'all': 75},3.6,BR,1681728226
19,rikitea,-23.1203,-134.9692,26.46,83,{'all': 89},6.31,PF,1681728226
20,port hardy,50.6996,-127.4199,5.0,100,{'all': 75},3.09,CA,1681728227
21,hilo,19.7297,-155.09,22.38,96,{'all': 100},4.12,US,1681728227
22,kenai,60.5544,-151.2583,1.16,92,{'all': 100},3.6,US,1681728228
23,nikolskoye,59.7035,30.7861,12.94,46,{'all': 53},2.02,RU,1681728228
24,carnarvon,-24.8667,113.6333,23.12,56,{'all': 98},8.27,AU,1681728229
25,curup,-3.4667,102.5333,22.61,95,{'all': 62},1.39,ID,1681728229
26,susehri,40.1644,38.0867,20.01,32,{'all': 77},1.47,TR,1681728230
27,hobyo,5.3505,48.5268,30.4,62,{'all': 15},5.44,SO,1681728230
28,sterling,39.0062,-77.4286,14.04,66,{'all': 75},8.23,US,1681727886
29,tazovskiy,67.4667,78.7,-11.35,91,{'all': 99},4.34,RU,1681728232
30,qaanaaq,77.484,-69.3632,-16.35,75,{'all': 4},2.57,GL,1681728232
